Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Fool's Gold,2008,PG-13,08 Feb 2008,112 min,"Action, Adventure, Comedy",Andy Tennant,"John Claflin, Daniel Zelman, Andy Tennant","Matthew McConaughey, Kate Hudson, Donald Sutherland",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMTU3MTYxMDU5Ml5BMl5BanBnXkFtZTYwNTgwNzc4._V1_SX300.jpg,29,5.7,"87,621",tt0770752,movie,N/A,"$70,231,041",N/A,N/A,True,5.7/10,11%,29/100,,,,
Praying with Lior,2008,Unrated,01 Feb 2008,87 min,"Documentary, Biography, Family",Ilana Trachtman,N/A,Lior Liebling,"Praying with Lior asks whether someone with Down syndrome can be a spiritual genius. Many believe Lior is close to God -- at least that's what his family and community believe -- though he's also a burden, a best friend, an inspir...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMjE3NjE0ODg3Nl5BMl5BanBnXkFtZTcwNTk2MzU1MQ@@._V1_SX300.jpg,68,7.5,132,tt1164092,movie,N/A,"$82,553",N/A,N/A,True,7.5/10,82%,68/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Eye,2023,N/A,12 Oct 2023,93 min,Thriller,Daphne Schmon,Emily Carlton,"Mark Rowley, Shruti Haasan, Linda Marlowe","A young widow travels back to the island where her husband died to scatter his ashes. Upon learning the true nature of what may have claimed his life, she is tempted by a dark choice that could bring him back.",English,United Kingdom,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDQ0M2JhNzYtYjQ0Mi00YTJhLTliMGEtYzc0NmRmN2JkNjJmXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,27,tt10778798,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Eye,2017,N/A,26 Aug 2017,2 min,"Short, Comedy, Horror",Justin Norman,"Eric Allan, Justin Norman",Justin Norman,"A PSA for summer days. An eye encounters a series of creatures whose motives seem questionable, at best.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTM3YWYyYmYtNzVmOC00ZjUyLWIzOWEtMTQyZmQ4Y2E0MWRkXkEyXkFqcGdeQXVyODAzMDkzNDE@._V1_SX300.jpg,N/A,N/A,N/A,tt7366274,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Strange Wilderness,2008,R,01 Feb 2008,87 min,"Adventure, Comedy",Fred Wolf,"Peter Gaulke, Fred Wolf","Steve Zahn, Allen Covert, Justin Long","With the ratings dropping for a wilderness-themed television show, two animal fans go to the Andes Mountains in search of Bigfoot.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI1MTI1OTUxNl5BMl5BanBnXkFtZTcwMDQzMjU1MQ@@._V1_SX300.jpg,12,5.2,"22,982",tt0489282,movie,N/A,"$6,575,282",N/A,N/A,True,5.2/10,2%,12/100,,,,
Over Her Dead Body,2008,PG-13,01 Feb 2008,95 min,"Comedy, Fantasy, Romance",Jeff Lowell,Jeff Lowell,"Eva Longoria, Paul Rudd, Lake Bell",A ghost tries to sabotage her former boyfriend's current relationship with a psychic.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDE0MjA2ODQ2NF5BMl5BanBnXkFtZTcwMjU4ODQ1MQ@@._V1_SX300.jpg,30,5.3,"26,171",tt0785007,movie,N/A,"$7,563,670",N/A,N/A,True,5.3/10,14%,30/100,,,,
The Eye,2008,PG-13,01 Feb 2008,98 min,"Horror, Mystery","David Moreau, Xavier Palud","Sebastian Gutierrez, Yuet-Jan Hui, Oxide Chun Pang","Jessica Alba, Alessandro Nivola, Parker Posey","Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.","English, Spanish","Canada, United States",2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNzYxZDMxMzktOGMzMS00NjU0LThkYzAtMDI4MzVkZTM1YjgxXkEyXkFqcGc@._V1_SX300.jpg,36,5.4,"57,304",tt0406759,movie,N/A,"$31,418,697",N/A,N/A,True,5.4/10,22%,36/100,,,,
Meet the Spartans,2008,PG-13,25 Jan 2008,87 min,"Comedy, Fantasy","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Sean Maguire, Kevin Sorbo, Carmen Electra","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BMmQ3NTAyODYtZjAxMy00ZTE4LWJhNmEtZGUyZjhlOTlhMTE1XkEyXkFqcGc@._V1_SX300.jpg,9,2.8,"113,965",tt1073498,movie,N/A,"$38,233,676",N/A,N/A,True,2.8/10,2%,9/100,,,,
Untraceable,2008,R,25 Jan 2008,101 min,"Crime, Mystery, Thriller",Gregory Hoblit,"Robert Fyvolent, Mark Brinker, Allison Burnett","Diane Lane, Colin Hanks, Joseph Cross","FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTYyNTcwODYzMF5BMl5BanBnXkFtZTcwNjMwMzU1MQ@@._V1_SX300.jpg,32,6.2,"54,237",tt0880578,movie,N/A,"$28,687,835",N/A,N/A,True,6.2/10,16%,32/100,,,,
Rambo,2008,R,25 Jan 2008,92 min,"Action, Thriller",Sylvester Stallone,"Art Monterastelli, Sylvester Stallone, David Morrell","Sylvester Stallone, Julie Benz, Matthew Marsden","In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.","English, Burmese, Thai","Germany, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI5Mjg1MzM4NF5BMl5BanBnXkFtZTcwNTAyNzUzMw@@._V1_SX300.jpg,46,7.0,"253,425",tt0462499,movie,N/A,"$42,754,105",N/A,N/A,True,7.0/10,38%,46/100,,,,
How She Move,2007,PG-13,25 Jan 2008,94 min,Drama,Ian Iqbal Rashid,Annmarie Morais,"Rutina Wesley, Tre Armstrong, Brennan Gademans","Following her sister's death from drug addiction, a high school student is forced to leave her private school to return to her old, crime-filled neighborhood where she re-kindles an unlikely passion for the competitive world of st...",English,"France, Canada, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BMjE0MDAxNTIyOV5BMl5BanBnXkFtZTcwODk1MzQ1MQ@@._V1_SX300.jpg,63,3.6,"6,785",tt0770810,movie,N/A,"$7,070,641",N/A,N/A,True,3.6/10,67%,63/100,,,,
U2 3D,2007,G,22 Feb 2008,85 min,"Documentary, Music","Catherine Owens, Mark Pellington",N/A,"Bono, Adam Clayton, The Edge","A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTM4MzYzMDE1OV5BMl5BanBnXkFtZTcwMDI0OTg1MQ@@._V1_SX300.jpg,83,8.4,"2,941",tt0892375,movie,N/A,"$10,363,341",N/A,N/A,True,8.4/10,92%,83/100,,,,
Still Life,2001,Not Rated,12 Jun 2001,90 min,Drama,Mike Flanagan,Mike Flanagan,"Jamie Sinsz, Zak Jeffries, Natalie Roers","Details the trials and tribulations of four student photographers who collaborate on one final project before graduation. Caught sharing photos in their portfolios, David, Karma, Danny, and Kevin are given a chance to save their f...",English,"United States, New Zealand",1 win,https://m.media-amazon.com/images/M/MV5BMTc4MTc4MDk3M15BMl5BanBnXkFtZTYwMDMzODc5._V1_SX300.jpg,N/A,5.5,74,tt0166186,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Still Life,2023,N/A,21 Mar 2024,9 min,"Short, Drama",Konstantinos Doxiadis,Konstantinos Doxiadis,"Tor Leijten, Annabel Leventon",Natalie re-enacts a childhood memory in an attempt to come to terms with her mother's death.,English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BZmQwN2I2ODQtZjk2YS00OTNhLWFmMjItNDNhODM5NzRkMDU0XkEyXkFqcGdeQXVyMTY5NDEwNTY4._V1_SX300.jpg,N/A,N/A,N/A,tt28941616,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Still Life,2013,N/A,N/A,12 min,"Documentary, Short","Florian Fischer, Johannes Krell",N/A,N/A,The film makers leave the classical nature film behind in order to explore new ways of conceptualizing our understanding of nature and ourselves. A hitherto familiar environment develops strange characteristics and meanders betwee...,None,Germany,1 nomination,N/A,N/A,N/A,N/A,tt3831420,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Still Life,1999,N/A,23 Jun 1999,5 min,"Drama, Short",Francis Regan,N/A,N/A,N/A,English,Canada,N/A,N/A,N/A,N/A,N/A,tt0376210,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Still Life,2024,N/A,N/A,20 min,"Short, Thriller",Jason Cheung,Jason Cheung,"Kevin Andrew Grady, David Yow, Samuel Dunning","An imprisoned artist struggles to create a portrait that will satisfy his patron. At the end of a fateful day, in the face of despair, the artist resolves to take a bold new approach to his work.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjJkMDZkM2EtNTJjMy00MTI4LWEyNTYtNjRlZjZjODJjOTE0XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt31804421,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Error getting data.,,,
Still Life,2023,N/A,31 Jul 2023,N/A,"Short, Thriller",Mila Vilaplana,Jackson Brown,"Jackson Brown, Seth Dunlap, Henry Haggard",A detective slowly unravels as a serial killer taunts him with depictions of his gruesome crimes.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjA5ZDQ5MmMtMTQyMC00NmJkLWIxYjctM2QyMzFlNjZiOWE4XkEyXkFqcGdeQXVyMTA0MzU5MTcz._V1_SX300.jpg,N/A,N/A,N/A,tt23675310,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Cassandra's Dream,2007,PG-13,18 Jan 2008,108 min,"Crime, Drama, Romance",Woody Allen,Woody Allen,"Colin Farrell, Ewan McGregor, Hayley Atwell","London brothers Terry and Ian Blaine have serious financial woes. When their wealthy uncle Howard Swann proposes that they turn to crime to solve their problems, things go badly and the two become enemies in Woody Allen's dark tale.",English,"United Kingdom, France, United States",N/A,https://m.media-amazon.com/images/M/MV5BZDE4ZTMyODItOGFlYi00ZDQwLTgwN2UtNDI1ZmZhNWY4NGJjXkEyXkFqcGc@._V1_SX300.jpg,49,6.6,"54,977",tt0795493,movie,N/A,"$973,018",N/A,N/A,True,6.6/10,46%,49/100,,,,
Still Life,2018,N/A,25 Jan 2018,1 min,Short,PES,PES,N/A,Various fruits and vegetables act as gears.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWViZjA5ZDctZmZmNS00OTFmLWJmOTYtMWYwZTQ3NzBkOThhXkEyXkFqcGdeQXVyNjYxNjA5OTY@._V1_SX300.jpg,N/A,N/A,11,tt12013914,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Still Life,2016,N/A,N/A,N/A,"Short, Romance",Austin Wood,Austin Wood,Scott Hamm,A mortician falls in love with a dead body.,English,USA,N/A,N/A,N/A,N/A,N/A,tt4874726,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Teeth,2012,N/A,N/A,16 min,"Short, Drama",Robert Ford,Robert Ford,"Samuel Oatley, Javone Prince, Noma Dumezweni, Polly Eachus","A man's search for his wife leads him on a strange and unsettling journey. A story of lost love and parallel lives, of those that have disappeared and the ones who must find them.",English,UK,N/A,N/A,N/A,N/A,N/A,tt2230552,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Teeth,1924,Passed,02 Nov 1924,60 min,Western,John G. Blystone,"Clinton Stagg, Virginia Hudson Brightman, Donald W. Lee","Tom Mix, Tony the Horse, Duke the Dog","Dan Angus, train baggage master, mistreats two dogs in his care, throwing the small one off while the big one attacks him. Dan is fired and gets off at a small town, steals from the postmaster and kills him. Dave, a prospector, fi...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWExNWIwOGUtYmVkYS00YjFlLWExM2ItNzZjMDEyNDIyZjVkXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,N/A,3.4,26,tt0015389,movie,N/A,N/A,N/A,N/A,True,3.4/10,,,,,,
Teeth,2007,N/A,22 Feb 2007,2 min,"Short, Comedy","John Kennedy, Ruairí O'Brien","John Kennedy, Ruairí O'Brien","Niall O'Brien, Niall Toibin","A last laugh tale of two old friends, their teeth and a fishing trip that leaves them lost for words.",None,Ireland,3 wins,https://m.media-amazon.com/images/M/MV5BOTA1ZmNhMzItNjdkZi00ZjU2LTg0NTItMmVkZTcxNDFlZjU2XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,135,tt1018942,movie,N/A,N/A,N/A,N/A,True,6.1/10,81%,,,,,
Teeth,2019,N/A,29 Oct 2019,2 min,"Short, Horror",Kyle Cooper,Anthony Ayala,Spike Pulice,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGVlNTJlNDgtOTAyNC00ZWVkLTlkOGEtMWMxZDc3OTAyNGM4XkEyXkFqcGdeQXVyMjgxODkyMzk@._V1_SX300.jpg,N/A,N/A,N/A,tt11246526,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Teeth,2014,N/A,14 May 2014,20 min,"Short, Drama, Fantasy",Jennifer Cox,Jennifer Cox,"Elisabeth Raine, Haley Beltran, Grace Protzmann",Daisy Brown is a thirteen year old girl with an unusual condition: her teeth won't stop growing. But that's the least of her problems.,English,"Spain, United States",N/A,https://m.media-amazon.com/images/M/MV5BMTU5OTk3NTQxM15BMl5BanBnXkFtZTgwOTgyNTEwMTE@._V1_SX300.jpg,N/A,7.4,9,tt3443678,movie,N/A,N/A,N/A,N/A,True,7.4/10,,,,,,
Teeth,2015,N/A,25 Jan 2015,7 min,"Animation, Short, Comedy","Tom Brown, Daniel Gray","Tom Brown, Daniel Gray",Richard E. Grant,"That which is neglected, is lost.",English,"Hungary, United States, United Kingdom",13 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTg0NDY2NTg5Nl5BMl5BanBnXkFtZTgwNTMyMTI3MzE@._V1_SX300.jpg,N/A,6.8,547,tt4189526,movie,N/A,N/A,N/A,N/A,True,6.8/10,,,,,,
Teeth,2007,R,03 Apr 2008,94 min,"Comedy, Fantasy, Horror",Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",English,United States,2 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMWI0OTRjZTctMTY1ZS00YjkxLWFiYjEtYjMxYmUzZDhlNzUyXkEyXkFqcGc@._V1_SX300.jpg,57,5.4,"48,855",tt0780622,movie,N/A,"$347,578",N/A,N/A,True,5.4/10,81%,57/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Day Zero,2021,N/A,27 May 2021,71 min,"Documentary, Drama","Virginia Quinn, Kevin Sim",Kevin Sim,"Chiwetel Ejiofor, Jay Famiglietti",The world's water shortage crisis.,English,"China, United States",1 win,https://m.media-amazon.com/images/M/MV5BMzk1MGMxOWEtZTBlOC00MWJmLWEyN2ItM2YxYjM1MjE4YjAyXkEyXkFqcGdeQXVyMDMxMTgwOQ@@._V1_SX300.jpg,N/A,7.2,224,tt13323462,movie,N/A,N/A,N/A,N/A,True,7.2/10,,,,,,
Day Zero,2007,R,03 Nov 2022,92 min,Drama,Bryan Gunnar Cole,Robert Malkani,"Elijah Wood, Chris Klein, Jon Bernthal","The military draft is back, and three best friends are drafted and given 30 days to report for duty. In that time, they're forced to confront everything they believe about courage, duty, love, friendship, and honor.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTE3ODA4MzcxN15BMl5BanBnXkFtZTcwNTMzNTY0MQ@@._V1_SX300.jpg,41,5.9,"2,986",tt0768183,movie,N/A,"$16,659",N/A,N/A,True,5.9/10,24%,41/100,,,,
Taxi to the Dark Side,2007,R,23 Jan 2009,106 min,"Documentary, Crime, History",Alex Gibney,Alex Gibney,"Alex Gibney, Brian Keith Allen, Moazzam Begg",Alex Gibney exposes the haunting details of the USA's torture and interrogation practices during the War in Afghanistan.,English,United States,Won 1 Oscar. 11 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxNzMxNzA3OF5BMl5BanBnXkFtZTcwODgyMzU1MQ@@._V1_SX300.jpg,82,7.5,"17,013",tt0854678,movie,N/A,"$274,661",N/A,N/A,True,7.5/10,100%,82/100,,,,
Cloverfield,2008,PG-13,18 Jan 2008,85 min,"Action, Horror, Sci-Fi",Matt Reeves,Drew Goddard,"Mike Vogel, Jessica Lucas, Lizzy Caplan",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"English, Russian, French, Japanese",United States,5 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BOWM3NmYyMjAtMjU3YS00MDJjLThmNDItNWUzZmFmMzk5NTEyXkEyXkFqcGc@._V1_SX300.jpg,64,7.0,"438,276",tt1060277,movie,N/A,"$80,048,433",N/A,N/A,True,7.0/10,78%,64/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Teeth,2024,N/A,11 Aug 2024,6 min,"Short, Comedy, Drama","Elijah Massiah, Elijah Massiah","Elijah Massiah, Elijah Massiah","Amany-Jade Basila, Amany-Jade Basila, Janaya Johnson",A group of six girlfriends are outside a club after a long night of tricking and drinking. They're all comfortable around each other-too comfortable-as they constantly speak over one another.,N/A,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZTczM2JiNmMtMmY5OS00OWU3LTllNTQtZTNmYjM5NWY2OWFlXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt33478560,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Still Life: The Fine Art of Murder,1990,PG-13,09 Nov 1990,83 min,"Crime, Drama, Mystery",Graeme Campbell,"Graeme Campbell, Dean Parisot, Michael Taav","Jason Gedrick, Jessica Steen, Stephen Shellen","The alleys of downtown Manhattan become a modern killing field when corpses begin turning up, disfigured and gruesomely posed to appear as pieces of art. In the frightening climate of the ""Art Killer"", Peter Sherwood, a struggling...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNjAzMTY4ODUtZThmZC00Mzk3LWE1MmEtNWE1ZTgxOTZmYjFkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,4.5,107,tt0096177,movie,N/A,N/A,N/A,N/A,True,4.5/10,,,,,,
Still Life,2013,TV-14,12 Dec 2013,92 min,Drama,Uberto Pasolini,Uberto Pasolini,"Eddie Marsan, Joanne Froggatt, Karen Drury",A council case worker looks for the relatives of those found dead and alone.,English,"United Kingdom, Italy",19 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyMzI1ODU5MF5BMl5BanBnXkFtZTgwNTIyMTI2MzE@._V1_SX300.jpg,45,7.4,"9,174",tt2395417,movie,N/A,"$9,481",N/A,N/A,True,7.4/10,63%,45/100,,,,
Still Life,2005,N/A,01 Oct 2005,9 min,"Short, Horror, Sci-Fi",Jon Knautz,Charles Johnston,"Trevor Matthews, Kyle Brydges, Joe Newton","A pill-popping, over-caffeinated driver accidentally hits something. Panic-stricken, he searches for help in a strange and desolate town that offers very little in the form of human kindness.",English,Canada,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTUyODgwMTY5NF5BMl5BanBnXkFtZTcwMjkyNjI0MQ@@._V1_SX300.jpg,N/A,7.5,"1,134",tt0483437,movie,N/A,N/A,N/A,N/A,True,7.5/10,,,,,,
27 Dresses,2008,PG-13,18 Jan 2008,111 min,"Comedy, Romance",Anne Fletcher,Aline Brosh McKenna,"Katherine Heigl, James Marsden, Malin Akerman","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",English,United States,5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZWM3ZjRiNGUtNmZkMy00YWNkLWI5MGUtYWI1NTc5NGVkODJkXkEyXkFqcGc@._V1_SX300.jpg,47,6.1,"184,550",tt0988595,movie,N/A,"$76,808,654",N/A,N/A,True,6.1/10,40%,47/100,,,,
First Sunday,2008,PG-13,11 Jan 2008,96 min,"Comedy, Crime, Drama",David E. Talbert,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan","Two bungling, petty criminal BFFs try to rob a church, but someone from staff beat them to it. They spend the night with the church staff to get the money.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE4MTYzMTMxMl5BMl5BanBnXkFtZTYwNzc0Nzc4._V1_SX300.jpg,41,4.6,"12,073",tt0486578,movie,N/A,"$37,931,869",N/A,N/A,True,4.6/10,,41/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
One Missed Call,2008,PG-13,04 Jan 2008,87 min,"Horror, Mystery",Eric Valette,"Andrew Klavan, Yasushi Akimoto, Minako Daira","Edward Burns, Shannyn Sossamon, Ana Claudia Talancón","Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",English,"United States, Japan, Germany, United Kingdom",2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2NTk0OTcyMV5BMl5BanBnXkFtZTcwMzk1MDU1MQ@@._V1_SX300.jpg,24,4.0,"34,505",tt0479968,movie,N/A,"$26,890,041",N/A,N/A,True,4.0/10,0%,24/100,,,,
Honeydripper,2007,PG-13,09 May 2008,124 min,"Crime, Drama, History",John Sayles,John Sayles,"Danny Glover, LisaGay Hamilton, Yaya DaCosta","1950. Rural Alabama. Cotton harvest. It's a make-or-break weekend for the Honeydripper Lounge and its owner, piano player Tyrone ""Pine Top"" Purvis. Deep in debt to the liquor man, the chicken man, and the landlord, Tyrone is despe...",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTI3NTU5MDM4NF5BMl5BanBnXkFtZTcwMTAxNzg3Mg@@._V1_SX300.jpg,68,6.7,"2,217",tt0829193,movie,N/A,"$267,880",N/A,N/A,True,6.7/10,69%,68/100,,,,
